Timestamp,Attended,status,city,province_state,country,gender,pronouns,join_sprint,role,os_system,student_school,student_field,company,are_you_urp,learn_of_sprint,contributor_status,prior_sprints,os_experience,prior_os,prior_pr,git,prog_langs,python_experience,used_sklearn,scikit_repo_familiar,why_in_sprint,can_do_postwork,can_do_prepwork,internet_data,primary_spoken_language,count_rows,status_c
8/28/2021 6:59:19,did not RSVP,0,KINSHASA,KINSHASA,Congo,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Analyst, Researcher",Windows,,,Digital Security Group,"Yes, I identify as an under-represented person.","Slack, Twitter",new,"No, never.",Advanced,"Yes, writing technical documentation, Yes, writing blogs, Yes, translated technical documentation from English to another language",No,"used Git, but am not comfortable","Python, R, MATLAB, C+ / C++",Advanced,I am not at all familiar with scikit-learn.,I am not at all familiar with scikit-learn.,I will like to learn and build my capacity during the OS sprint,Yes,Yes,Yes,French,1,Did Not Attend
8/28/2021 10:24:22,1,1,Gdansk,Pomorskie,Poland,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,"Linux, Windows, Cloud",,,,"Yes, I identify as an under-represented person.",NumFOCUS newsletter,new,"No, never.",Beginner,"Yes, writing blogs, Yes, answering user questions on StackOverflow or Quora (or other platform)","Yes, some minor updates to fastai, icevision and mmocr","comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.",Contribute to OpenSourse and Scikit learn!,Yes,Yes,No,"Polish, English",1,Attended
9/9/2021 10:16:34,1,1,Sofia,Sofia,Bulgaria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Mac,Not a student,Not a student,Financial Times,"No, I do not identify as an under-represented person.",by invitation,returning,"Yes, in June 2020 (Online)  (Global)",Beginner,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past","Gain experience, contribute to a great library",Yes,Yes,No,"Bulgarian, English",1,Attended
9/9/2021 12:10:54,1,1,Nairobi,Nairobi,Kenya,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Statistician, Student",Windows,University of Nairobi,MSc. Social Statistics,,"No, I do not identify as an under-represented person.",by invitation,returning,"Yes, in June 2020 (Online)  (Global), Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing blogs",Yes,"comfortable submitting a PR, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",To contribute towards solving more issues,Yes,Yes,,"English, Kiswahili",1,Attended
9/9/2021 12:32:17,did not RSVP,0,Lagos,Lagos,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Mac,,,Tempo Software,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,No,No,comfortable submitting a PR,"Python, C+ / C++",Intermediate,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.","Contributing to open-source has always been something I wanted to do for a long time. I battle with the ""valley of despair"" and I keep asking myself if what I would do will be good enough. The OS sprint would serve as a launching platform for me to gain more confidence and build on top of that to dive in. ",Yes,No,No,English,1,Did Not Attend
9/10/2021 2:00:27,1,1,Nairobi,Kajiado North/Rift Valley,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Researcher, computational microbiologist","Linux, Cloud",,,Elarian ,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, June 2019 (Nairobi), Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation, Yes, writing blogs",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, Scala, Bash",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I want to peer program with someone I mentoring to expose them to submitting a PR for an OS project.,Yes,Yes,No,"English, Swahili",1,Attended
9/10/2021 2:19:40,1,1,"Nairobi, Kenya",Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Student, Software developer",Linux,Jomo Kenyatta University of Agriculture and Technology,Bachelor of Science in Information Technology,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I would like to contribute to scikit-learn by submitting PRs on more advanced issues. The OS sprint will give me the opportunity to ask questions towards this goal.,Yes,Yes,No,"English, Swahili",1,Attended
9/10/2021 2:52:37,no show,0,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Linux,,,Twiga Foods Limited ,"Yes, I identify as an under-represented person., I identify as an Ally in data science.",Twitter,new,"No, never.",Intermediate,"Yes, writing technical documentation, Yes, writing blogs, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,comfortable submitting a PR,"Python, R, MATLAB",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.",I want to advance Scikit-learn library as the go to machine learning toolkit ,Yes,Yes,Yes,English,1,Did Not Attend
9/10/2021 2:58:24,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Software developer",Linux,,,,"No, I do not identify as an under-represented person.",by invitation,returning,"Yes, June 2019 (Nairobi)",Intermediate,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, Java",Advanced,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",It's an opportunity to learn and share skills.,Yes,Yes,No,English,1,Attended
9/11/2021 0:10:26,did not RSVP,0,Cairo,Cairo,Egypt,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Researcher,Mac,,,Ain Shams University,"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,No,I have participated in Kaggle #30DaysforML competition,no experience with Git,Python,Beginner,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,Get a step forward,Yes,Yes,No,"Arabic, English",1,Did Not Attend
9/12/2021 1:30:07,no show,0,Lagos,Lagos,Nigeria,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Researcher",Windows,,,,"Yes, I identify as an under-represented person.",by invitation,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have looked at the codebase.","I want to join this OS sprint to deep dive into open source this year. I have used scikit learn on several Machine learning projects, It will be great to contribute to it.",Yes,Yes,Yes,English,1,Did Not Attend
9/12/2021 5:30:55,did not RSVP,0,Abeokuta,Ogun State,Nigeria,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Windows,Federal University of Agriculture Abeokuta,Bsc,Nil,I prefer not to answer this question.,by invitation,new,"No, never.",Beginner,No,No,no experience with Git,Python,Beginner,I am not at all familiar with scikit-learn.,I am not at all familiar with scikit-learn.,To build a career,Yes,Yes,Yes,English,1,Did Not Attend
9/12/2021 10:11:22,no show,0,Ikorodu,Lagos ,Nigeria,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Student,Mac,University of Lagos,BSc Economics,,"No, I do not identify as an under-represented person.","a friend, colleague, etc.  (word of mouth)",new,"No, never.",Beginner,"Yes, submitted a PR to a code repository",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Beginner,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I always want to help the tech community in any way I can. Which motivated me to join the IOT for beginners volunteers. I’m joining this one to contribute to OpenSource in any way I can to make the tech ecosystem better and improve tools that people use in their day to day activities.,Yes,Yes,No,English,1,Did Not Attend
9/12/2021 16:14:38,canceled,0,Vijayawada,Andhra Pradesh,India,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Student",Windows,Jawaharlal Nehru Technological University,"Bachelors in Technology, Computer Science and Engineering",,I prefer not to answer this question.,LinkedIn,new,"No, never.",No experience,No,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, Java",Advanced,I am highly experienced with scikit-learn.,I have never looked at the source code for scikit-learn.,"My motto is CLASP: Stay Curious, Keep Learning, Apply what you I learn, Share and teach others, Practice and Keep Growing.  Being a student from a tier-3 college from a small town the amount of exposure I have had is very limited. I always wanted to explore more and I was searching for different sources which can help me in doing so.   I feel that OS sprint is a great opportunity for me to learn by application and start my journey of exploring the field of research. I am always keen to meet to new people, to get to know their experiences, to collaborate with them and share what I have learnt. The reason why I want to become a part of OS sprint is that I want to level up my skills by exploring and challenging myself to experiment. ",Not sure I cannot commit to it.,Yes,No,"English, Telugu",1,Did Not Attend
9/12/2021 18:29:11,1,1,Jeddah,Makkah,Saudi Arabia,Woman,she/her,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Analyst, Statistician",Windows,,,,"Yes, I identify as an under-represented person.",Twitter,new,"No, never.",Intermediate,"Yes, writing blogs",No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,I want to contributer in OS and be part from this community because i love it,Yes,Yes,No,Arabic,1,Attended
9/12/2021 19:23:37,1,1,Miami,Florida,USA,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT",Data Scientist,Windows,,,Audible (Amazon),"Yes, I identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,No,No,"comfortable submitting a PR, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,I have never looked at the source code for scikit-learn.,To learn how to contribute to OS project,Yes,Yes,Yes,English,1,Attended
9/13/2021 10:38:38,1,1,Nairobi,Nairobi,Kenya,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Engineer, Software developer",Linux,,,,"Yes, I identify as an under-represented person.",by invitation,returning,"Yes, June 2019 (Nairobi)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing blogs",Yes,comfortable submitting a PR,"Python, Java",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",To revamp my knowledge in scikit learn,Yes,Yes,,English,1,Attended
9/13/2021 12:05:42,1,1,Bhopal,Madhya Pradesh,India,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Engineer, Software developer","Linux, Windows, Cloud",,,,"No, I do not identify as an under-represented person.",LinkedIn,new,"No, never.",Beginner,"Yes, submitted a PR to a code repository, Yes, answering user questions on StackOverflow or Quora (or other platform)",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Advanced,I am highly experienced with scikit-learn.,"I am familiar, I have looked at the codebase.",I'm a recent graduate and very much passionate about machine learning and open source. I really want to made a contribution to this project.,Yes,Yes,No,"Hindi, English",1,Attended
9/14/2021 14:27:49,no show,0,Johannesburg,Gauteng,South Africa,Man,he/him,"Yes, Saturday, Oct 23, 2021 (5pm to 9pm, +3 EAT) ONLINE EVENT","Data Scientist, Researcher",Mac,,,,"Yes, I identify as an under-represented person.","Twitter, Gmail",returning,"Yes, in February 2021 (Online)  (Africa Middle East)",Intermediate,"Yes, submitted a PR to a code repository, Yes, writing technical documentation",Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R",Intermediate,I have used some scikit-learn for machine learning analysis.,"I am familiar, I have submitted a PR in the past",I think it's important to contribute to OSS,Yes,Yes,No,English,1,Did Not Attend
