location,continent_o,country_o,iso_alpha,iso_num,lat,lng,timestamp,city,state-province,country,gender,pronouns,pre_oh,session_1,session_2,session_3,post_oh,total_events,submitted_pr,joined_discord,role,urp,sessions,learn_of_sprint,prior_sprints,os_experience,prior_os_pr,git,prog_langs,python_experience,used_pymc,pymc_repo_familiar,why_in_sprint,prep_work,primary_spoken_language,language_translation,count_rows,count,status_n,status_c
Rochester USA,North America,United States,USD,840,43.157285,-77.615214,6/13/2022 18:54:55,Rochester,New York,USA,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,1,"Data Scientist, Engineer, Software developer","Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Advanced,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.","Looking to grow my skills as a developer, and participate in open source with others. I am hoping to take my career in the data science / ML direction, and beginning by working on open source problems in an ML library is an interesting start :) as well as collaborating with others in the space",,English,No,1,1,0,Did Not Attend
Rochester USA,North America,United States,USD,840,43.157285,-77.615214,7/7/2022 10:47:41,Rochester,New York,USA,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,0,"Analyst, Student","Yes, I identify as an under-represented person.","Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",WIA,No,No experience,No,no experience with Git,"Python, R, SQL",Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Open source data is very valuable and I'd like to know how to take advantage of it.,Not sure,"English, ASL",No,1,1,0,Did Not Attend
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,6/13/2022 19:56:59,New York,New York,USA,Woman,she/her,1.0,1.0,0.0,0.0,0.0,2,1.0,1,Data Scientist,I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",Meetup,No,No experience,No,comfortable setting up virtual environment,Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,gain experience and learn,Yes,English,No,1,1,1,Attended
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,6/20/2022 20:25:26,New York,New York,USA,Woman,"she/her, they/them",1.0,0.0,1.0,0.0,0.0,2,1.0,1,"Data Scientist, Analyst, Researcher","Yes, I identify as an under-represented person., I identify as an Ally in data science.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",Meetup,Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, R, MATLAB, C+ / C++, Java",Intermediate,I have used some PyMC for machine learning analysis.,I have never looked at the source code.,To collaborate in building upon the data science ecosystem,Yes,English,No,1,1,1,Attended
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,6/22/2022 18:03:11,New York,New York,USA,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,1,Data Scientist,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Twitter,No,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Beginner,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I'd like to contribute more in the open source community as I learn. The even by Data Umbrella is a great opportunity to do this while having the support needed.,Yes,English,No,1,1,0,Did Not Attend
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,6/23/2022 9:25:35,New York,New York,USA,Woman,she/her,0.0,1.0,0.0,0.0,0.0,1,1.0,1,Engineer,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",Meetup,No,No experience,No,"comfortable submitting a PR, comfortable cloning a repository","Python, Java",Intermediate,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.","I am interested in getting started in open source, and this event seems like a great place to start!",Yes,English,No,1,1,1,Attended
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,6/28/2022 12:35:09,New York,New York,USA,Man,he/him,1.0,0.0,0.0,0.0,0.0,1,0.0,1,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday)",Slack,No,Not sure,No,"used Git, but am not comfortable","Python, R, Java",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To expend a bit my skills and knowledge on data science while meeting new people and enjoying the experience,Yes,English,No,1,1,1,Attended
New York USA,North America,United States,USD,840,40.7127281,-74.0060152,8/10/2022 23:46:33,New York,New York,USA,Woman,she/her,1.0,1.0,1.0,1.0,1.0,5,1.0,1,Data Scientist,"Yes, I identify as an under-represented person.",,Meetup,Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Intermediate,I have used some PyMC for machine learning analysis.,"I am familiar, I have looked at the codebase.",,,English,No,1,1,1,Attended
Winneba Ghana,Africa,Ghana,GHS,936,5.35006,-0.62134,6/14/2022 12:13:11,Winneba,Central Region,Ghana,Man,he/him,0.0,0.0,0.0,0.0,0.0,0,0.0,0,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,No,"used Git, but am not comfortable","Python, R",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I aspire to be a Data Scientist and a Python Developer.,,English,No,1,1,0,Did Not Attend
Accra Ghana,Africa,Ghana,GHS,936,5.5571096,-0.2012376,6/14/2022 12:21:55,Accra,Accra,Ghana,Woman,she/her,0.0,0.0,0.0,0.0,0.0,0,0.0,1,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday)","LinkedIn, Meetup",No,Beginner,No,no experience with Git,"Python, MATLAB",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Because that is the only way l can participate and contribute my quota to the community,Not sure,English,No,1,1,0,Did Not Attend
