Timestamp,city,province_state,country,gender,pronouns,pre_oh,session_1,session_2,session_3,post_oh,total_events,submitted_pr,joined_discord,role,urp,sessions,learn_of_sprint,prior_sprints,os_experience,prior_os_pr,git,prog_langs,python_experience,used_pymc,pymc_repo_familiar,why_in_sprint,prep_work,primary_spoken_language,language_translation
6/13/2022 18:54:55,Rochester,New York,USA,Woman,she/her,,,,,,0,0,1,"Data Scientist, Engineer, Software developer","Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Advanced,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.","Looking to grow my skills as a developer, and participate in open source with others. I am hoping to take my career in the data science / ML direction, and beginning by working on open source problems in an ML library is an interesting start :) as well as collaborating with others in the space",,English,No
6/13/2022 19:56:59,New York,New York,USA,Woman,she/her,1,1,,,,2,1,1,Data Scientist,I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",Meetup,No,No experience,No,comfortable setting up virtual environment,Python,Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,gain experience and learn,Yes,English,No
6/14/2022 12:13:11,Winneba,Central Region,Ghana,Man,he/him,,,,,,0,,0,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,No,"used Git, but am not comfortable","Python, R",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I aspire to be a Data Scientist and a Python Developer.,,English,No
6/14/2022 12:21:55,Accra,Accra,Ghana,Woman,she/her,0,0,0,0,0,0,0,1,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday)","LinkedIn, Meetup",No,Beginner,No,no experience with Git,"Python, MATLAB",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Because that is the only way l can participate and contribute my quota to the community,Not sure,English,No
6/14/2022 13:47:46,Accra,Greater Accra,Ghana,Man,he/him,1,,,,,1,,1,"Data Scientist, Software developer","Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",by invitation,No,Beginner,Yes,"comfortable submitting a PR, comfortable cloning a repository","Python, Java",Advanced,I am not at all familiar with PyMC.,I am not at all familiar with this library.,To contribute to Open Source as a first timer and also get the opportunity to learn new things,Yes,English,Not sure
6/14/2022 14:28:28,Accra,Greater Accra,Ghana,Man,he/him,1,1,,,,2,,1,"Data Scientist, Student, Software developer","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",by invitation,Yes,Intermediate,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,"To collaborate, contribute and learn more. ",Yes,English,No
6/16/2022 10:02:15,Accra,Greater Accra Region,Ghana,Man,he/him,,1,1,0,,2,1,1,Software developer,I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",by invitation,No,No experience,No,"comfortable setting up virtual environment, comfortable cloning a repository","Python, Java",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I want to gain experience as an open source contributor and advance my skills,Not sure,English,No
6/17/2022 4:24:08,Accra,Greater Accra,Ghana,Man,he/him,,,,,,0,,0,"Analyst, Statistician, Researcher","No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday)",LinkedIn,No,Beginner,No,"used Git, but am not comfortable","Python, R",Intermediate,I am not at all familiar with PyMC.,I have never looked at the source code.,I want to learn and contribute to open source project while connecting with people in data science.,Yes,English,No
6/17/2022 10:43:58,Pune,Maharashtra ,India,Woman,she/her,,,,,,0,,1,Student,"Yes, I identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,Yes,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++, Java",Advanced,I am not at all familiar with PyMC.,"I am familiar, I have looked at the codebase.",I have a keen interest in Open Source. Also as a aspiring data scientist I would like to contribute to PyMc which will help me understand the mathematical terms as well as strengthen my skills .,Yes,English,No
6/17/2022 14:02:23,São Paulo,São Paulo,Brasil,Man,he/him,1,1,1,1,1,5,1,1,"Data Scientist, Statistician, Student",I identify as an Ally in data science.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,No,"comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I have used some PyMC for machine learning analysis.,I have never looked at the source code.,"I mostly use OS tools on my DS daily basis. I want to give my contribution back to the community! Two months ago I decided that I wanted to help OS libraries grown, but I have a hard time thinking how can I contribute (for instance, I find it challenging to pick an open issue that I'll be comfortable doing). I was looking forward to a beginner friendly Data Umbrella OS Sprint and I would be happy to give my first step towards being a contributor. I have used pymc3 before (for posteriori sampling with MCMC) and would love to get to know more.",Yes,"Portuguese, English",No
6/17/2022 14:14:27,São Paulo,São Paulo,Brasil,Man,he/him,1,1,1,1,1,5,1,1,Data Scientist,I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Working session #2: July 22, 2022 (Friday), Working session #3: August 4, 2022 (Thursday), Post-sprint office hours:  August 18, 2022 (Thursday)","LinkedIn, Meetup",Yes,Beginner,Yes,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository",Python,Advanced,I have used some PyMC for machine learning analysis.,I have never looked at the source code.,I enjoy being part of a contributing event where we can return a bit to the community for all the amazong open source code available.,Yes,"Spanish, Portuguese, English",No
6/18/2022 11:23:38,Accra,Greater Accra Region,Ghana,Man,Prefer not to say,,,,,,0,,0,"Engineer, Software developer",I prefer not to answer this question.,"Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday)",PyGhana Instagram,No,Intermediate,No,"comfortable submitting a PR, comfortable setting up virtual environment, comfortable cloning a repository","Python, C+ / C++",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,I am a young passionate software engineer and contributing to open source projects meaningfully is something I've wanted to do for a very long time.,Yes,English,No
6/20/2022 11:40:20,Berlin,Berlin,Germany,Man,he/him,1,1,,,,2,1,1,Data Scientist,"No, I do not identify as an under-represented person.","Pre-event office hours:  July 2, 2022 (Saturday), Working session #1:  July 9, 2022 (Saturday), Post-sprint office hours:  August 18, 2022 (Thursday)",Meetup,No,Beginner,Yes,"comfortable submitting a PR, comfortable cloning a repository, used Git, but am not comfortable","Python, R, C+ / C++, Java",Intermediate,I am not at all familiar with PyMC.,I am not at all familiar with this library.,Get into touch with software development outside from financial businesses.,Yes,"German, English",No
